episode,mean_reward,max_reward,min_reward,std_reward,mean_episode_length,collision_rate,success_rate,mean_travel_time_s,total_collisions,total_successes,steps_per_sec,episodes_per_sec,elapsed_sec,mean_train_loss,success_rate/left,collision_rate/left,success_rate/straight,collision_rate/straight,success_rate/right,collision_rate/right,success_rate/scenario_a,success_rate/scenario_b,success_rate/scenario_c,success_rate/scenario_d,success_rate/scenario_e,success_rate/scenario_f,success_rate/scenario_g,success_rate/scenario_h,success_rate/scenario_i
10,-44.21000289916992,17.299997329711914,-534.7999877929688,163.6338653564453,261.3999938964844,0.10000000149011612,1.0,26.139999389648438,1.0,10.0,45.94356918334961,0.22433382272720337,44.57642364501953,3.4616758823394775,1.0,0.25,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,-17.062501907348633,17.299997329711914,-534.7999877929688,118.87553405761719,263.75,0.05000000074505806,1.0,26.375,1.0,20.0,77.18267822265625,0.3768685460090637,71.11087799072266,2.450894832611084,1.0,0.125,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,-8.383336067199707,19.249998092651367,-534.7999877929688,97.86703491210938,267.0,0.03333333507180214,1.0,26.700000762939453,1.0,30.0,71.50848388671875,0.3491625189781189,99.75083923339844,2.1897854804992676,1.0,0.0833333358168602,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,-4.3550028800964355,19.249998092651367,-534.7999877929688,85.09805297851562,270.70001220703125,0.02500000037252903,1.0,27.06999969482422,1.0,40.0,139.27171325683594,0.3400188386440277,129.16098022460938,1.913050889968872,1.0,0.0625,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,-13.244003295898438,22.249998092651367,-534.7999877929688,106.62237548828125,274.9599914550781,0.03999999910593033,1.0,27.496000289916992,2.0,50.0,71.26142883300781,0.34795621037483215,157.90023803710938,2.1818792819976807,1.0,0.095238097012043,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,-9.815835952758789,23.449996948242188,-534.7999877929688,97.67974090576172,276.54998779296875,0.03333333507180214,1.0,27.655000686645508,2.0,60.0,159.4525909423828,0.3892885446548462,183.58811950683594,2.022723913192749,1.0,0.08695652335882187,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,-7.566431522369385,23.449996948242188,-534.7999877929688,90.63178253173828,279.0142822265625,0.02857142873108387,1.0,27.90142822265625,2.0,70.0,70.99089813232422,0.34663525223731995,212.43690490722656,1.9721782207489014,1.0,0.0714285746216774,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,-5.684378147125244,23.449996948242188,-534.7999877929688,84.96097564697266,279.5625,0.02500000037252903,1.0,27.956249237060547,2.0,80.0,84.8045883178711,0.41408491134643555,236.58653259277344,1.9330507516860962,1.0,0.06451612710952759,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,-4.293891906738281,23.449996948242188,-534.7999877929688,80.21983337402344,280.477783203125,0.02222222276031971,1.0,28.04777717590332,2.0,90.0,143.2523651123047,0.3497371971607208,265.179443359375,1.8759820461273193,1.0,0.06060606241226196,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,-2.8545029163360596,27.049997329711914,-534.7999877929688,76.25235748291016,279.0299987792969,0.019999999552965164,1.0,27.902999877929688,2.0,100.0,78.7193603515625,0.38437187671661377,291.1959228515625,1.8728636503219604,1.0,0.05714285746216774,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
